"codes","official_explanation"
"A51.43","Secondary syphilitic oculopathy"
"A92.0","Chikungunya virus disease"
"B00.52","Herpesviral keratitis"
"B00.59","Other herpesviral disease of eye"
"B00.9","Herpesviral infection, unspecified"
"B02.22","Postherpetic trigeminal neuralgia"
"B02.32","Zoster iridocyclitis"
"B02.33","Zoster keratitis"
"B02.39","Other herpes zoster eye disease"
"B02.9","Zoster without complications"
"B19.20","Unspecified viral hepatitis C without hepatic coma"
"B20","Human immunodeficiency virus [HIV] disease"
"B30.1","Conjunctivitis due to adenovirus"
"B30.9","Viral conjunctivitis, unspecified"
"B39.9","Histoplasmosis, unspecified"
"B58.09","Other toxoplasma oculopathy"
"B58.9","Toxoplasmosis, unspecified"
"B83.0","Visceral larva migrans"
"B88.0","Other acariasis"
"C44.199","Other specified malignant neoplasm of skin of left eyelid, including canthus"
"C50.911","Malignant neoplasm of unspecified site of right female breast"
"C50.919","Malignant neoplasm of unspecified site of unspecified female breast"
"C69.32","Malignant neoplasm of left choroid"
"C72.32","Malignant neoplasm of left optic nerve"
"C75.1","Malignant neoplasm of pituitary gland"
"C80.1","Malignant (primary) neoplasm, unspecified"
"C90.01","Multiple myeloma in remission"
"D21.0","Benign neoplasm of connective and other soft tissue of head, face and neck"
"D22.11","Melanocytic nevi of right eyelid, including canthus"
"D23.11","Other benign neoplasm of skin of right eyelid, including canthus"
"D23.12","Other benign neoplasm of skin of left eyelid, including canthus"
"D31.01","Benign neoplasm of right conjunctiva"
"D31.02","Benign neoplasm of left conjunctiva"
"D31.12","Benign neoplasm of left cornea"
"D31.21","Benign neoplasm of right retina"
"D31.22","Benign neoplasm of left retina"
"D31.31","Benign neoplasm of right choroid"
"D31.32","Benign neoplasm of left choroid"
"D31.91","Benign neoplasm of unspecified part of right eye"
"D32.9","Benign neoplasm of meninges, unspecified"
"D33.2","Benign neoplasm of brain, unspecified"
"D35.2","Benign neoplasm of pituitary gland"
"D36.9","Benign neoplasm, unspecified site"
"D57.1","Sickle-cell disease without crisis"
"D57.3","Sickle-cell trait"
"D86.9","Sarcoidosis, unspecified"
"D89.811","Chronic graft-versus-host disease"
"E03.9","Other activity involving ice and snow"
"E05.00","Thyrotoxicosis with diffuse goiter without thyrotoxic crisis or storm"
"E07.9","Other activity involving other sports and athletes played as a team or group"
"E08.311","Diabetes mellitus due to underlying condition with unspecified diabetic retinopathy with macular edema"
"E08.319","Diabetes mellitus due to underlying condition with unspecified diabetic retinopathy without macular edema"
"E08.321","Diabetes mellitus due to underlying condition with mild nonproliferative diabetic retinopathy with macular edema"
"E08.3212","Null"
"E08.3213","Null"
"E08.329","Diabetes mellitus due to underlying condition with mild nonproliferative diabetic retinopathy without macular edema"
"E08.3293","Null"
"E08.331","Diabetes mellitus due to underlying condition with moderate nonproliferative diabetic retinopathy with macular edema"
"E08.3313","Null"
"E08.339","Diabetes mellitus due to underlying condition with moderate nonproliferative diabetic retinopathy without macular edema"
"E08.3393","Null"
"E08.341","Diabetes mellitus due to underlying condition with severe nonproliferative diabetic retinopathy with macular edema"
"E08.3412","Null"
"E08.349","Diabetes mellitus due to underlying condition with severe nonproliferative diabetic retinopathy without macular edema"
"E08.351","Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with macular edema"
"E08.3513","Null"
"E08.359","Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy without macular edema"
"E08.39","Diabetes mellitus due to underlying condition with other diabetic ophthalmic complication"
"E08.8","Null"
"E08.9","Other specified sports and athletics activity"
"E09.321","Drug or chemical induced diabetes mellitus with mild nonproliferative diabetic retinopathy with macular edema"
"E09.329","Drug or chemical induced diabetes mellitus with mild nonproliferative diabetic retinopathy without macular edema"
"E09.349","Drug or chemical induced diabetes mellitus with severe nonproliferative diabetic retinopathy without macular edema"
"E09.39","Drug or chemical induced diabetes mellitus with other diabetic ophthalmic complication"
"E09.65","Drug or chemical induced diabetes mellitus with hyperglycemia"
"E09.9","Other activity involving cardiorespiratory exercise"
"E10.311","Type 1 diabetes mellitus with unspecified diabetic retinopathy with macular edema"
"E10.319","Type 1 diabetes mellitus with unspecified diabetic retinopathy without macular edema"
"E10.321","Type 1 diabetes mellitus with mild nonproliferative diabetic retinopathy with macular edema"
"E10.329","Type 1 diabetes mellitus with mild nonproliferative diabetic retinopathy without macular edema"
"E10.3291","Null"
"E10.3292","Null"
"E10.3293","Null"
"E10.331","Type 1 diabetes mellitus with moderate nonproliferative diabetic retinopathy with macular edema"
"E10.339","Type 1 diabetes mellitus with moderate nonproliferative diabetic retinopathy without macular edema"
"E10.3391","Null"
"E10.3392","Null"
"E10.341","Type 1 diabetes mellitus with severe nonproliferative diabetic retinopathy with macular edema"
"E10.349","Type 1 diabetes mellitus with severe nonproliferative diabetic retinopathy without macular edema"
"E10.351","Type 1 diabetes mellitus with proliferative diabetic retinopathy with macular edema"
"E10.3513","Null"
"E10.359","Type 1 diabetes mellitus with proliferative diabetic retinopathy without macular edema"
"E10.3593","Null"
"E10.36","Type 1 diabetes mellitus with diabetic cataract"
"E10.39","Type 1 diabetes mellitus with other diabetic ophthalmic complication"
"E10.65","Type 1 diabetes mellitus with hyperglycemia"
"E10.8","Null"
"E10.9","Other activity involving other muscle strengthening exercises"
"E11.311","Type 2 diabetes mellitus with unspecified diabetic retinopathy with macular edema"
"E11.319","Type 2 diabetes mellitus with unspecified diabetic retinopathy without macular edema"
"E11.321","Type 2 diabetes mellitus with mild nonproliferative diabetic retinopathy with macular edema"
"E11.3211","Null"
"E11.3212","Null"
"E11.3213","Null"
"E11.329","Type 2 diabetes mellitus with mild nonproliferative diabetic retinopathy without macular edema"
"E11.3291","Null"
"E11.3292","Null"
"E11.3293","Null"
"E11.331","Type 2 diabetes mellitus with moderate nonproliferative diabetic retinopathy with macular edema"
"E11.3311","Null"
"E11.3312","Null"
"E11.3313","Null"
"E11.339","Type 2 diabetes mellitus with moderate nonproliferative diabetic retinopathy without macular edema"
"E11.3391","Null"
"E11.3392","Null"
"E11.3393","Null"
"E11.341","Type 2 diabetes mellitus with severe nonproliferative diabetic retinopathy with macular edema"
"E11.3411","Null"
"E11.3413","Null"
"E11.349","Type 2 diabetes mellitus with severe nonproliferative diabetic retinopathy without macular edema"
"E11.3491","Null"
"E11.3492","Null"
"E11.3493","Null"
"E11.351","Type 2 diabetes mellitus with proliferative diabetic retinopathy with macular edema"
"E11.3511","Null"
"E11.3512","Null"
"E11.3513","Null"
"E11.3522","Null"
"E11.3551","Null"
"E11.3552","Null"
"E11.3553","Null"
"E11.359","Type 2 diabetes mellitus with proliferative diabetic retinopathy without macular edema"
"E11.3591","Null"
